anchor,replication,origin_index,fixed_point_indicator,basin_fraction,d_hat_at_r_true,ARI_at_r_true,r0_released,end_to_end_success,released_stop_state,released_terminal_r,released_n_iter
S1,16,249,1,0.3333333333333333,2.0,0.7369026679598244,7,0,wrong_fixed_point,7.0,1.0
S1,16,374,1,0.2222222222222222,2.0,0.621641545242091,7,0,wrong_fixed_point,7.0,1.0
S1,16,498,0,0.0,2.0,0.3820344743869871,7,0,wrong_fixed_point,7.0,1.0
S1,17,0,0,0.0,2.0,0.2036962311355016,7,0,wrong_fixed_point,7.0,1.0
S1,17,124,1,0.4444444444444444,2.0,0.5372157396503999,7,0,wrong_fixed_point,7.0,1.0
S1,17,249,1,0.4444444444444444,2.0,0.696828250507183,7,0,wrong_fixed_point,7.0,1.0
S1,17,374,1,0.3333333333333333,2.0,0.7458722182340273,7,0,wrong_fixed_point,7.0,1.0
S1,17,498,0,0.0,2.0,0.2810480184128385,7,0,wrong_fixed_point,7.0,1.0
S1,18,0,1,0.5555555555555556,2.0,0.5340018405102656,6,0,wrong_fixed_point,6.0,1.0
S1,18,124,1,0.5555555555555556,2.0,0.429277331686226,6,0,wrong_fixed_point,6.0,1.0
S1,18,249,1,0.5555555555555556,2.0,0.498721044884894,6,0,wrong_fixed_point,6.0,1.0
S1,18,374,1,0.5555555555555556,2.0,0.6033322504292941,6,0,wrong_fixed_point,6.0,1.0
S1,18,498,1,0.5555555555555556,2.0,0.5228582571391429,6,0,wrong_fixed_point,6.0,1.0
S1,19,0,1,0.5555555555555556,2.0,0.5548490920278308,6,0,wrong_fixed_point,6.0,1.0
S1,19,124,1,0.5555555555555556,2.0,0.56163344362844,6,0,wrong_fixed_point,6.0,1.0
S1,19,249,1,0.5555555555555556,2.0,0.5940952725955443,5,1,correct_fixed_point,5.0,1.0
S1,19,374,1,0.5555555555555556,2.0,0.5194569299919956,5,1,correct_fixed_point,5.0,1.0
S1,19,498,1,0.5555555555555556,2.0,0.5381704606883296,6,0,wrong_fixed_point,6.0,1.0
S2,0,0,1,0.2222222222222222,2.0,0.3787861166032532,7,0,wrong_fixed_point,7.0,1.0
S2,0,124,1,0.2222222222222222,2.0,0.39718728025627,7,0,wrong_fixed_point,7.0,1.0
S2,0,249,1,0.3333333333333333,2.0,0.404723564143854,7,0,wrong_fixed_point,7.0,1.0
S2,0,374,1,0.2222222222222222,2.0,0.3968446014615496,7,0,wrong_fixed_point,7.0,1.0
S2,0,498,1,0.2222222222222222,2.0,0.3163429481331586,7,0,wrong_fixed_point,7.0,1.0
S2,1,0,1,0.2222222222222222,2.0,0.5929078892380083,7,0,wrong_fixed_point,7.0,1.0
S2,1,124,1,0.2222222222222222,2.0,0.4917815096111804,7,0,wrong_fixed_point,7.0,1.0
S2,1,249,1,0.2222222222222222,2.0,0.5919217533055606,7,0,wrong_fixed_point,7.0,1.0
S2,1,374,1,0.2222222222222222,2.0,0.6008697792729958,7,0,wrong_fixed_point,7.0,1.0
S2,1,498,1,0.2222222222222222,2.0,0.547945205479452,7,0,wrong_fixed_point,7.0,1.0
