experiment,structural_seed,T,residual_type,r_used,r_selected,branch,status,d_hat,d_embed,K_gmm,ARI,MP_edge,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8
manual_r_sweep,162215,1500,estimated,5,,full_pipeline,ok,2,2,2,0.32653061224489793,1.5830644461609886,5.5143778414565805,4.381600372499041,1.5358230930397707,1.4926256145505563,1.462088795040587,1.448534923871678,1.430808136438295,1.4105948160373278
manual_r_sweep,162215,1500,estimated,7,,oracle,ok,3,4,4,0.009117742508770031,1.5830644461609886,1.6582615374749068,1.6320922119190784,1.5966912183708761,1.5659907624400273,1.54385670901868,1.5255739266097275,1.5225491619932936,1.4967599126813322
manual_r_sweep,162215,1500,estimated,7,,mp_fixed_k,ok,3,3,4,0.02068672365748831,1.5830644461609886,1.6582615374749068,1.6320922119190784,1.5966912183708761,1.5659907624400273,1.54385670901868,1.5255739266097275,1.5225491619932936,1.4967599126813322
manual_r_sweep,162215,1500,estimated,7,,full_pipeline,ok,3,3,3,-0.018055989884294823,1.5830644461609886,1.6582615374749068,1.6320922119190784,1.5966912183708761,1.5659907624400273,1.54385670901868,1.5255739266097275,1.5225491619932936,1.4967599126813322
baing_jj2_bridge,162215,1500,estimated,7,7,oracle,ok,3,4,4,0.009117742508770031,1.5830644461609886,1.6582615374749068,1.6320922119190784,1.5966912183708761,1.5659907624400273,1.54385670901868,1.5255739266097275,1.5225491619932936,1.4967599126813322
baing_jj2_bridge,162215,1500,estimated,7,7,mp_fixed_k,ok,3,3,4,0.02068672365748831,1.5830644461609886,1.6582615374749068,1.6320922119190784,1.5966912183708761,1.5659907624400273,1.54385670901868,1.5255739266097275,1.5225491619932936,1.4967599126813322
baing_jj2_bridge,162215,1500,estimated,7,7,full_pipeline,ok,3,3,3,-0.018055989884294823,1.5830644461609886,1.6582615374749068,1.6320922119190784,1.5966912183708761,1.5659907624400273,1.54385670901868,1.5255739266097275,1.5225491619932936,1.4967599126813322
paired_T_true_residual,2951145736,200,true,,,oracle,ok,2,4,4,0.5714540721457791,2.914213562373095,5.962528545047151,4.401553385579351,2.643562621165743,2.6196887461394502,2.4042828216835224,2.3019227166406107,2.2438053878896693,2.185979966236728
paired_T_true_residual,2951145736,200,true,,,mp_fixed_k,ok,2,2,4,0.6248324952090027,2.914213562373095,5.962528545047151,4.401553385579351,2.643562621165743,2.6196887461394502,2.4042828216835224,2.3019227166406107,2.2438053878896693,2.185979966236728
paired_T_true_residual,2951145736,200,true,,,full_pipeline,ok,2,2,2,0.33454545454545453,2.914213562373095,5.962528545047151,4.401553385579351,2.643562621165743,2.6196887461394502,2.4042828216835224,2.3019227166406107,2.2438053878896693,2.185979966236728
paired_T_true_residual,2951145736,500,true,,,oracle,ok,2,4,4,0.6806823532985979,2.0944271909999155,5.329727535221515,3.8281353789072226,1.880868059347278,1.8634082888259105,1.8035705029509341,1.7918133646669683,1.6979511109320697,1.6930060004685963
paired_T_true_residual,2951145736,500,true,,,mp_fixed_k,ok,2,2,4,0.664598380920064,2.0944271909999155,5.329727535221515,3.8281353789072226,1.880868059347278,1.8634082888259105,1.8035705029509341,1.7918133646669683,1.6979511109320697,1.6930060004685963
