replication,branch,r_used,split,sse,den,ARI,d_hat,pr_d_hat_eq_K_true,n_origins,MSPE
2,robustness_K_equals_d_hat,7,eval,50122.52804001763,25000,0.010344654772217673,2.496,0.0,250,2.004901121600705
2,robustness_K_equals_d_hat,7,tune,48655.65098460374,24900,0.03276547154943073,2.0441767068273093,0.0,249,1.9540422082170175
2,robustness_K_equals_d_hat,8,eval,50099.357446439724,25000,0.01613036777900862,2.524,0.0,250,2.003974297857589
2,robustness_K_equals_d_hat,8,tune,48616.060669470484,24900,0.021013094058236675,2.072289156626506,0.0,249,1.9524522357217062
2,robustness_K_equals_d_hat,9,eval,50176.55707305404,25000,0.006427357265359131,2.604,0.0,250,2.0070622829221616
2,robustness_K_equals_d_hat,9,tune,48677.17108232781,24900,-0.001936426379784212,2.244979919678715,0.0,249,1.9549064691697917
3,primary_fixed_K,1,eval,54259.05166953421,25000,-0.006714960061958417,5.048,0.0,250,2.1703620667813683
3,primary_fixed_K,1,tune,56041.69261021182,24900,-0.0009823471864933632,5.257028112449799,0.0,249,2.250670385952282
3,primary_fixed_K,2,eval,52598.97787720219,25000,0.007356673686279913,5.0,0.0,250,2.1039591150880876
3,primary_fixed_K,2,tune,53818.70085762877,24900,0.02016048842605468,5.0,0.0,249,2.161393608740111
3,primary_fixed_K,3,eval,50504.2484108781,25000,0.04141010781574598,4.0,1.0,250,2.0201699364351238
3,primary_fixed_K,3,tune,51372.353251381755,24900,0.0997726521687694,4.0,1.0,249,2.063146716922962
3,primary_fixed_K,4,eval,47929.614377483624,25000,0.3966550478238538,3.0,0.0,250,1.917184575099345
3,primary_fixed_K,4,tune,48644.41664133469,24900,0.2944215878931295,3.0,0.0,249,1.9535910297724774
3,primary_fixed_K,5,eval,47813.83711605046,25000,0.5648948360560176,2.0,0.0,250,1.9125534846420185
3,primary_fixed_K,5,tune,48489.22100244071,24900,0.5711923370756019,2.0,0.0,249,1.94735827319039
3,primary_fixed_K,6,eval,47661.02687480245,25000,0.28574046660371366,2.452,0.0,250,1.906441074992098
3,primary_fixed_K,6,tune,48405.905623633036,24900,0.32748497720051295,2.068273092369478,0.0,249,1.9440122740414874
3,primary_fixed_K,7,eval,47233.42069043098,25000,0.08520977181974626,2.648,0.0,250,1.8893368276172393
3,primary_fixed_K,7,tune,48060.77503574093,24900,0.07495087883303965,2.1526104417670684,0.0,249,1.9301516078610816
3,primary_fixed_K,8,eval,47425.93940944925,25000,0.03769238124676256,2.656,0.0,250,1.89703757637797
3,primary_fixed_K,8,tune,47917.08103711287,24900,0.026029678879985352,2.289156626506024,0.0,249,1.9243807645426854
3,primary_fixed_K,9,eval,47451.16354420266,25000,0.0009392661169408702,2.304,0.0,250,1.8980465417681065
3,primary_fixed_K,9,tune,47961.24508176133,24900,0.012684572014123624,2.3012048192771086,0.0,249,1.9261544209542703
3,robustness_K_equals_d_hat,1,eval,54893.999644690324,25000,-0.007380139167017029,5.048,0.0,250,2.195759985787613
3,robustness_K_equals_d_hat,1,tune,56157.57540202556,24900,-0.001296887401158875,5.257028112449799,0.0,249,2.25532431333436
3,robustness_K_equals_d_hat,2,eval,52903.49846330958,25000,0.012146766919726115,5.0,0.0,250,2.1161399385323834
3,robustness_K_equals_d_hat,2,tune,53933.831629466746,24900,0.016783323668020655,5.0,0.0,249,2.1660173345167366
3,robustness_K_equals_d_hat,3,eval,50504.2484108781,25000,0.04141010781574598,4.0,1.0,250,2.0201699364351238
3,robustness_K_equals_d_hat,3,tune,51372.353251381755,24900,0.0997726521687694,4.0,1.0,249,2.063146716922962
3,robustness_K_equals_d_hat,4,eval,47952.83339734102,25000,0.34027278483498086,3.0,0.0,250,1.9181133358936409
3,robustness_K_equals_d_hat,4,tune,48644.8670392351,24900,0.3091605907656147,3.0,0.0,249,1.9536091180415702
3,robustness_K_equals_d_hat,5,eval,48006.02288716013,25000,0.30500835909851576,2.0,0.0,250,1.920240915486405
3,robustness_K_equals_d_hat,5,tune,48586.40571971936,24900,0.3119317097869316,2.0,0.0,249,1.9512612738843118
3,robustness_K_equals_d_hat,6,eval,47980.387757072196,25000,0.2634011292887864,2.452,0.0,250,1.9192155102828878
3,robustness_K_equals_d_hat,6,tune,48637.406380711225,24900,0.2423261120600632,2.068273092369478,0.0,249,1.953309493201254
3,robustness_K_equals_d_hat,7,eval,47624.8574705876,25000,0.05819573114212341,2.648,0.0,250,1.904994298823504
3,robustness_K_equals_d_hat,7,tune,48375.78727964688,24900,0.08100221593536576,2.1526104417670684,0.0,249,1.9428027019938505
3,robustness_K_equals_d_hat,8,eval,47674.64879966403,25000,0.034614709048294605,2.656,0.0,250,1.906985951986561
3,robustness_K_equals_d_hat,8,tune,48371.3686616669,24900,0.017659785003019658,2.289156626506024,0.0,249,1.942625247456502
3,robustness_K_equals_d_hat,9,eval,47896.95568818018,25000,0.0024031798034249378,2.304,0.0,250,1.915878227527207
3,robustness_K_equals_d_hat,9,tune,48467.11331205207,24900,0.010077106054822404,2.3012048192771086,0.0,249,1.9464704141386373
4,primary_fixed_K,1,eval,53874.415004408496,25000,0.023702234191897438,6.0,0.0,250,2.1549766001763397
4,primary_fixed_K,1,tune,54589.599895642445,24900,0.030339399810149204,5.907630522088353,0.0,249,2.192353409463552
4,primary_fixed_K,2,eval,51295.94719703849,25000,0.05824462254731496,5.0,0.0,250,2.0518378878815398
4,primary_fixed_K,2,tune,52899.887735200624,24900,0.07466881761878161,5.0,0.0,249,2.1244934833413907
4,primary_fixed_K,3,eval,50682.86323675166,25000,0.11350647521887078,4.0,1.0,250,2.0273145294700665
4,primary_fixed_K,3,tune,50743.15391660284,24900,0.10491357676835085,4.0,1.0,249,2.037877667333447
4,primary_fixed_K,4,eval,48118.649166514595,25000,0.3704420892531086,3.0,0.0,250,1.9247459666605837
4,primary_fixed_K,4,tune,48642.42411985784,24900,0.33529098312057454,3.0,0.0,249,1.9535110088296321
4,primary_fixed_K,5,eval,47461.402224450474,25000,0.6246135029956476,2.0,0.0,250,1.8984560889780189
4,primary_fixed_K,5,tune,47837.321554320195,24900,0.6161579585820101,2.0,0.0,249,1.9211775724626585
4,primary_fixed_K,6,eval,47967.711103263675,25000,0.33241810021149076,2.216,0.0,250,1.918708444130547
4,primary_fixed_K,6,tune,48246.139615833694,24900,0.2870301378737166,2.0080321285140563,0.0,249,1.9375959685073774
4,primary_fixed_K,7,eval,47792.05586965502,25000,0.04137527509465798,3.008,0.048,250,1.9116822347862008
4,primary_fixed_K,7,tune,47745.8750170693,24900,0.03956914259268057,2.783132530120482,0.0,249,1.9175050207658355
4,primary_fixed_K,8,eval,47871.336078005545,25000,0.0167442831061173,3.072,0.16,250,1.9148534431202218
4,primary_fixed_K,8,tune,47903.46206626563,24900,0.008826287235132003,2.5261044176706826,0.0,249,1.9238338179223144
4,primary_fixed_K,9,eval,47854.0407896444,25000,0.007081370106216572,3.392,0.392,250,1.9141616315857761
4,primary_fixed_K,9,tune,48222.64352998579,24900,0.01649418483737435,2.6305220883534135,0.024096385542168676,249,1.936652350601839
4,robustness_K_equals_d_hat,1,eval,54638.44536287541,25000,0.015806356807141084,6.0,0.0,250,2.1855378145150164
4,robustness_K_equals_d_hat,1,tune,55366.226899610694,24900,0.02733579875328867,5.907630522088353,0.0,249,2.223543248980349
4,robustness_K_equals_d_hat,2,eval,51686.31342234516,25000,0.05560761927831825,5.0,0.0,250,2.0674525368938066
4,robustness_K_equals_d_hat,2,tune,53263.7873533808,24900,0.059493108052832776,5.0,0.0,249,2.1391079258385863
4,robustness_K_equals_d_hat,3,eval,50682.86323675166,25000,0.11350647521887078,4.0,1.0,250,2.0273145294700665
4,robustness_K_equals_d_hat,3,tune,50743.15391660284,24900,0.10491357676835085,4.0,1.0,249,2.037877667333447
4,robustness_K_equals_d_hat,4,eval,48321.42750266558,25000,0.3071607842366637,3.0,0.0,250,1.9328571001066233
4,robustness_K_equals_d_hat,4,tune,48643.16687906126,24900,0.32872913803077336,3.0,0.0,249,1.9535408385165165
4,robustness_K_equals_d_hat,5,eval,48295.96752358394,25000,0.3247506199117279,2.0,0.0,250,1.9318387009433575
4,robustness_K_equals_d_hat,5,tune,48567.47508121732,24900,0.3034374714081359,2.0,0.0,249,1.9505010072778042
4,robustness_K_equals_d_hat,6,eval,48597.00350370415,25000,0.23296445185434023,2.216,0.0,250,1.943880140148166
4,robustness_K_equals_d_hat,6,tune,48813.564877400844,24900,0.27420246574320717,2.0080321285140563,0.0,249,1.960384131622524
4,robustness_K_equals_d_hat,7,eval,47969.760933774756,25000,0.04458431914091515,3.008,0.048,250,1.9187904373509903
4,robustness_K_equals_d_hat,7,tune,48077.68183661175,24900,0.030665685176231715,2.783132530120482,0.0,249,1.9308305958478615
4,robustness_K_equals_d_hat,8,eval,48033.3512294059,25000,0.014135332959950453,3.072,0.16,250,1.9213340491762358
4,robustness_K_equals_d_hat,8,tune,48395.61711612591,24900,0.005965796633696451,2.5261044176706826,0.0,249,1.943599080968912
4,robustness_K_equals_d_hat,9,eval,48004.91573045231,25000,0.005584512163458707,3.392,0.392,250,1.9201966292180923
4,robustness_K_equals_d_hat,9,tune,48558.55845515347,24900,0.011983485479498596,2.6305220883534135,0.024096385542168676,249,1.950142909845521
