replication,branch,r_selected,tuning_min_tied,r_prediction_oracle,n_prediction_oracle_ties,r_structure_oracle,n_structure_oracle_ties,MSPE_eval_selected,MSPE_eval_prediction_oracle,MSPE_eval_r_true,ARI_eval_selected,ARI_eval_structure_oracle,ARI_eval_r_true,d_hat_eval_selected,pr_d_hat_eq_K_true_eval_selected,abs_r_selected_minus_r_true,selected_equals_r_true,selected_within_one_of_r_true,selected_equals_prediction_oracle,selected_equals_structure_oracle,predictive_regret,structural_regret,structural_regret_fraction,predictive_regret_fraction,MSPE_eval_selected_minus_r_true,ARI_eval_r_true_minus_selected,spearman_tuneMSPE_evalMSPE,spearman_tuneMSPE_evalARI
10,robustness_K_equals_d_hat,4,False,9,1,4,1,1.954452019151318,1.951804809791317,1.9671574406806318,0.3336396309830746,0.3336396309830746,0.287840076564211,3.0,0.0,1,0,1,0,1,0.002647209360000957,0.0,0.0,0.0013562879580586704,-0.012705421529313865,-0.045799554418863575,0.8166666666666667,-0.8666666666666667
11,robustness_K_equals_d_hat,4,False,4,1,5,1,1.9522856961230348,1.9522856961230348,1.9610614945658478,0.12155736634446596,0.33225694621353674,0.33225694621353674,3.0,0.0,1,0,1,1,0,0.0,0.21069957986907079,0.6341465009843834,0.0,-0.008775798442812954,0.21069957986907079,0.9833333333333333,-0.016666666666666666
12,robustness_K_equals_d_hat,5,False,7,1,5,1,1.8930498307778045,1.8882675408057892,1.8930498307778045,0.29405253687345434,0.29405253687345434,0.29405253687345434,2.0,0.0,0,1,1,0,1,0.004782289972015352,0.0,0.0,0.0025326336806989667,0.0,0.0,0.8,-0.23333333333333334
13,robustness_K_equals_d_hat,8,False,8,1,4,1,1.9526179734943356,1.9526179734943356,1.972570195857684,-0.0005548352854391368,0.47418467358914196,0.30392122242198183,2.368,0.0,3,0,0,1,0,0.0,0.4747395088745811,1.0011700827047816,0.0,-0.01995222236334837,0.304476057707421,0.9166666666666666,-0.1
14,robustness_K_equals_d_hat,5,False,4,1,5,1,1.932562885709487,1.9298239829150305,1.932562885709487,0.3180301554964522,0.3180301554964522,0.3180301554964522,2.068,0.0,0,1,1,0,1,0.0027389027944564326,0.0,0.0,0.001419250055292232,0.0,0.0,0.7333333333333333,0.0
15,robustness_K_equals_d_hat,7,False,7,1,4,1,1.9409157634635785,1.9409157634635785,1.9528588402230362,0.0034704288763903164,0.4123974901207621,0.3159410116447964,2.22,0.0,2,0,0,1,0,0.0,0.4089270612443718,0.9915847478233341,0.0,-0.011943076759457716,0.31247058276840606,0.95,0.016666666666666666
16,robustness_K_equals_d_hat,4,False,4,1,4,1,1.8977555372029409,1.8977555372029409,1.9078633696659644,0.34097971738884314,0.34097971738884314,0.32622903714769,3.0,0.0,1,0,1,1,1,0.0,0.0,0.0,0.0,-0.010107832463023492,-0.014750680241153113,0.95,-0.7333333333333333
17,robustness_K_equals_d_hat,4,False,7,1,5,1,1.8829429804223439,1.8727514986695561,1.8893704862868972,0.3237675599572155,0.3265306122448979,0.3265306122448979,3.0,0.0,1,0,1,0,0,0.010191481752787723,0.002763052287682366,0.008461847631027248,0.005441982964652799,-0.006427505864553318,0.002763052287682366,0.7,-0.6333333333333333
18,robustness_K_equals_d_hat,7,False,8,1,5,1,1.9348001493751814,1.9311542657476803,1.9403178174304034,0.006309355857683229,0.3265306122448979,0.3265306122448979,2.364,0.0,2,0,0,0,0,0.0036458836275010675,0.32022125638721466,0.9806775976858452,0.0018879297693441903,-0.005517668055222025,0.32022125638721466,0.95,-0.36666666666666664
19,robustness_K_equals_d_hat,7,False,7,1,5,1,1.869954101211467,1.869954101211467,1.8758891655131391,0.001381966050498616,0.32569336709994623,0.32569336709994623,2.924,0.176,2,0,0,1,0,0.0,0.3243114010494476,0.995756849263453,0.0,-0.005935064301672011,0.3243114010494476,0.9833333333333333,0.36666666666666664
