replication,branch,epsilon,n_in_set,r_min,r_max,r_values,MSPE_eval_min,MSPE_eval_max,MSPE_eval_range,ARI_eval_min,ARI_eval_max,ARI_eval_range,r_true_in_set,structure_oracle_in_set
5,primary_fixed_K,0.02,6,4,9,4|5|6|7|8|9,1.933638861165735,1.9450870040267916,0.011448142861056665,0.012070245054529983,0.6529456415445957,0.6408753964900656,1,1
6,primary_fixed_K,0.02,6,4,9,4|5|6|7|8|9,1.8984510665323424,1.9252896484362243,0.026838581903881886,-0.007195775235419722,0.6185940300541896,0.6257898052896093,1,1
7,primary_fixed_K,0.02,6,4,9,4|5|6|7|8|9,1.8723338413842008,1.8980874620035142,0.02575362061931341,0.0035904310486003293,0.7056977035041817,0.7021072724555814,1,1
8,primary_fixed_K,0.02,4,5,9,5|7|8|9,1.8897133128129073,1.8942183595536033,0.0045050467406959616,0.01078457972157544,0.5908983129041064,0.580113733182531,1,1
9,primary_fixed_K,0.02,6,4,9,4|5|6|7|8|9,1.8901722784569202,1.9204032280832997,0.03023094962637951,0.006387150857238752,0.690811567701312,0.6844244168440733,1,1
10,primary_fixed_K,0.02,5,4,9,4|5|7|8|9,1.9368808337603005,1.955186121301814,0.018305287541513504,0.023829128841968784,0.6331519604359981,0.6093228315940293,1,1
11,primary_fixed_K,0.02,5,4,9,4|5|7|8|9,1.936863749814763,1.9471941869341596,0.01033043711939663,0.0033527074904856056,0.6629666244276567,0.6596139169371712,1,1
12,primary_fixed_K,0.02,6,4,9,4|5|6|7|8|9,1.8708596189117501,1.888016254046854,0.017156635135103793,-0.008130893274390009,0.6193517264823949,0.6274826197567849,1,1
13,primary_fixed_K,0.02,6,4,9,4|5|6|7|8|9,1.943005027270031,1.9699558354682025,0.026950808198171528,-0.0032293795524789537,0.6369780039420099,0.6402073834944888,1,1
14,primary_fixed_K,0.02,6,4,9,4|5|6|7|8|9,1.9091183890903964,1.931116533735734,0.02199814464533767,0.0034174107835425556,0.5879047469169874,0.5844873361334448,1,1
15,primary_fixed_K,0.02,6,4,9,4|5|6|7|8|9,1.9150591321048889,1.9441343816931578,0.029075249588268903,-0.0011053272512918577,0.6369112384780438,0.6380165657293356,1,1
16,primary_fixed_K,0.02,5,4,9,4|5|7|8|9,1.8741176992349557,1.8885647442763949,0.014447045041439122,0.007465471829375143,0.6301694863870266,0.6227040145576515,1,1
17,primary_fixed_K,0.02,6,4,9,4|5|6|7|8|9,1.8592833674019016,1.8822922562886746,0.023008888886772993,0.008392608080714474,0.7215386518630222,0.7131460437823077,1,1
18,primary_fixed_K,0.02,6,4,9,4|5|6|7|8|9,1.9162942351596761,1.9551496945138842,0.03885545935420809,0.010852773931443505,0.6179763683862606,0.6071235944548171,1,1
19,primary_fixed_K,0.02,6,4,9,4|5|6|7|8|9,1.8473926946908221,1.8996226809210004,0.05222998623017827,-0.004718998322906033,0.5493448453043217,0.5540638436272277,1,1
0,robustness_K_equals_d_hat,0.001,2,7,8,7|8,1.9070442592902246,1.9142225862974878,0.007178327007263174,0.0003447577758974015,0.08553354170352853,0.08518878392763113,0,0
1,robustness_K_equals_d_hat,0.001,1,7,7,7,1.8953742016227197,1.8953742016227197,0.0,0.003932837490258907,0.003932837490258907,0.0,0,0
2,robustness_K_equals_d_hat,0.001,1,5,5,5,2.016629563924292,2.016629563924292,0.0,0.3320715519532694,0.3320715519532694,0.0,1,1
3,robustness_K_equals_d_hat,0.001,2,7,8,7|8,1.904994298823504,1.906985951986561,0.00199165316305705,0.034614709048294605,0.05819573114212341,0.023581022093828806,0,0
4,robustness_K_equals_d_hat,0.001,1,7,7,7,1.9187904373509903,1.9187904373509903,0.0,0.04458431914091515,0.04458431914091515,0.0,0,0
5,robustness_K_equals_d_hat,0.001,1,8,8,8,1.9574549013259233,1.9574549013259233,0.0,0.004946948392969598,0.004946948392969598,0.0,0,0
6,robustness_K_equals_d_hat,0.001,1,7,7,7,1.915711008618146,1.915711008618146,0.0,-0.00014834347846915042,-0.00014834347846915042,0.0,0,0
7,robustness_K_equals_d_hat,0.001,2,7,8,7|8,1.9006360021006072,1.9020948853111723,0.0014588832105650873,0.0027110471621080256,0.004004405684493349,0.0012933585223853235,0,0
8,robustness_K_equals_d_hat,0.001,1,7,7,7,1.9002628292234567,1.9002628292234567,0.0,0.01828629862142246,0.01828629862142246,0.0,0,0
9,robustness_K_equals_d_hat,0.001,1,9,9,9,1.9162460705311943,1.9162460705311943,0.0,0.0019733377415929055,0.0019733377415929055,0.0,0,0
10,robustness_K_equals_d_hat,0.001,1,4,4,4,1.954452019151318,1.954452019151318,0.0,0.3336396309830746,0.3336396309830746,0.0,0,1
11,robustness_K_equals_d_hat,0.001,2,4,9,4|9,1.9522856961230348,1.9554044910660024,0.0031187949429676287,0.009875078709843976,0.12155736634446596,0.11168228763462199,0,0
12,robustness_K_equals_d_hat,0.001,1,5,5,5,1.8930498307778045,1.8930498307778045,0.0,0.29405253687345434,0.29405253687345434,0.0,1,1
13,robustness_K_equals_d_hat,0.001,1,8,8,8,1.9526179734943356,1.9526179734943356,0.0,-0.0005548352854391368,-0.0005548352854391368,0.0,0,0
14,robustness_K_equals_d_hat,0.001,1,5,5,5,1.932562885709487,1.932562885709487,0.0,0.3180301554964522,0.3180301554964522,0.0,1,1
15,robustness_K_equals_d_hat,0.001,1,7,7,7,1.9409157634635785,1.9409157634635785,0.0,0.0034704288763903164,0.0034704288763903164,0.0,0,0
16,robustness_K_equals_d_hat,0.001,1,4,4,4,1.8977555372029409,1.8977555372029409,0.0,0.34097971738884314,0.34097971738884314,0.0,0,1
17,robustness_K_equals_d_hat,0.001,1,4,4,4,1.8829429804223439,1.8829429804223439,0.0,0.3237675599572155,0.3237675599572155,0.0,0,0
18,robustness_K_equals_d_hat,0.001,1,7,7,7,1.9348001493751814,1.9348001493751814,0.0,0.006309355857683229,0.006309355857683229,0.0,0,0
19,robustness_K_equals_d_hat,0.001,1,7,7,7,1.869954101211467,1.869954101211467,0.0,0.001381966050498616,0.001381966050498616,0.0,0,0
0,robustness_K_equals_d_hat,0.005,4,5,9,5|7|8|9,1.9070442592902246,1.918623479998764,0.01157922070853945,0.0003447577758974015,0.3265306122448979,0.3261858544690005,1,1
1,robustness_K_equals_d_hat,0.005,4,5,9,5|7|8|9,1.8864291232247086,1.8953742016227197,0.008945078398011175,0.003909132175684458,0.32530111377166576,0.3213919815959813,1,1
2,robustness_K_equals_d_hat,0.005,4,5,9,5|7|8|9,2.003974297857589,2.016629563924292,0.012655266066702975,0.006427357265359131,0.3320715519532694,0.3256441946879102,1,1
3,robustness_K_equals_d_hat,0.005,4,5,9,5|7|8|9,1.904994298823504,1.920240915486405,0.015246616662901058,0.0024031798034249378,0.30500835909851576,0.30260517929509084,1,0
4,robustness_K_equals_d_hat,0.005,1,7,7,7,1.9187904373509903,1.9187904373509903,0.0,0.04458431914091515,0.04458431914091515,0.0,0,0
5,robustness_K_equals_d_hat,0.005,3,7,9,7|8|9,1.9517603261636884,1.9574549013259233,0.005694575162234816,0.004946948392969598,0.015475597879811561,0.010528649486841964,0,0
6,robustness_K_equals_d_hat,0.005,2,5,7,5|7,1.915711008618146,1.9307405031063751,0.015029494488229211,-0.00014834347846915042,0.27806783250817557,0.2782161759866447,1,1
