T_window,mp_edge,d_hat,corr_finite,corr_symmetric,leading_eigenvalues,lambda_1_minus_edge,indicator_dhat_ge_1,lambda_2_minus_edge,indicator_dhat_ge_2,lambda_3_minus_edge,indicator_dhat_ge_3,lambda_4_minus_edge,indicator_dhat_ge_4,lambda_5_minus_edge,indicator_dhat_ge_5,lambda_6_minus_edge,indicator_dhat_ge_6,run_id,world_index,structural_seed,branch,path
200,2.914213562373095,2,True,True,"[5.765561104609496, 4.986689251767038, 2.5875516636573654, 2.4565376649995505, 2.3358421134445466, 2.2633987482864866, 2.2085814209639394, 2.146996521335024]",2.851347542236401,1,2.0724756893939427,1,-0.3266618987157295,0,-0.4576758973735444,0,-0.5783714489285483,0,-0.6508148140866084,0,formal_20260818,0,3674827978,iid_marginal,2.0
500,2.0944271909999155,2,True,True,"[6.459323591976197, 4.709061147228992, 1.8745564367262904, 1.8113508014209203, 1.7963828481924227, 1.7453707764239321, 1.729841232241332, 1.6647987422751485]",4.364896400976281,1,2.6146339562290764,1,-0.21987075427362512,0,-0.28307638957899517,0,-0.2980443428074928,0,-0.34905641457598335,0,formal_20260818,0,3674827978,iid_marginal,2.0
1000,1.732455532033676,2,True,True,"[6.119990950395985, 4.46630219622728, 1.5694362096136099, 1.5500560903467158, 1.53128144860039, 1.4964607924731363, 1.4429607133410007, 1.437551900018794]",4.387535418362308,1,2.7338466641936043,1,-0.16301932242006623,0,-0.18239944168696032,0,-0.20117408343328602,0,-0.23599473956053973,0,formal_20260818,0,3674827978,iid_marginal,2.0
1500,1.5830644461609886,2,True,True,"[6.263896260323296, 4.4921935917570455, 1.4708270115881112, 1.4535195743254965, 1.4089490029145195, 1.377884157306178, 1.3565907774208414, 1.3391781076870388]",4.680831814162308,1,2.909129145596057,1,-0.11223743457287738,0,-0.12954487183549213,0,-0.1741154432464691,0,-0.20518028885481066,0,formal_20260818,0,3674827978,iid_marginal,2.0
3000,1.3984817050034442,2,True,True,"[6.272935782130354, 4.489722958363087, 1.3896507404091174, 1.312920737336413, 1.2618119583912057, 1.244429042952771, 1.2352821474180604, 1.2141496568781427]",4.874454077126909,1,3.0912412533596427,1,-0.008830964594326751,0,-0.08556096766703125,0,-0.1366697466122384,0,-0.15405266205067325,0,formal_20260818,0,3674827978,iid_marginal,2.0
200,2.914213562373095,2,True,True,"[6.7769995106057275, 4.720308762961596, 2.6289893536035778, 2.4927582745140646, 2.410633236083173, 2.2579875369457794, 2.144764505481311, 2.0987255691823257]",3.8627859482326325,1,1.8060952005885014,1,-0.28522420876951715,0,-0.4214552878590303,0,-0.5035803262899221,0,-0.6562260254273156,0,formal_20260818,0,3674827978,iid_marginal,3.0
500,2.0944271909999155,2,True,True,"[6.3664199388641585, 4.052662287657254, 1.9172795310327868, 1.853587797125099, 1.7469772660995033, 1.7158157298472194, 1.684944696623549, 1.6535789564357637]",4.2719927478642425,1,1.9582350966573387,1,-0.17714765996712867,0,-0.24083939387481657,0,-0.34744992490041215,0,-0.37861146115269606,0,formal_20260818,0,3674827978,iid_marginal,3.0
1000,1.732455532033676,2,True,True,"[6.090252478697168, 4.131829234681845, 1.6407155645467186, 1.5534989214137522, 1.5044778410673674, 1.4657582585796949, 1.4362100875329669, 1.4209238289992046]",4.357796946663491,1,2.399373702648169,1,-0.09173996748695745,0,-0.17895661061992385,0,-0.2279776909663087,0,-0.2666972734539812,0,formal_20260818,0,3674827978,iid_marginal,3.0
1500,1.5830644461609886,2,True,True,"[6.097282446303013, 4.156236970346562, 1.5098847737022756, 1.4300157510879268, 1.3962455321296716, 1.3933204585824646, 1.3710425307501546, 1.3446969205999943]",4.514218000142025,1,2.5731725241855736,1,-0.07317967245871304,0,-0.15304869507306185,0,-0.186818914031317,0,-0.18974398757852406,0,formal_20260818,0,3674827978,iid_marginal,3.0
3000,1.3984817050034442,2,True,True,"[6.189633996928465, 4.353239935323502, 1.3874094150167402, 1.3336233579544297, 1.258371106926172, 1.2504094301338808, 1.2256997302244348, 1.2180512335288893]",4.7911522919250205,1,2.9547582303200572,1,-0.011072289986703954,0,-0.0648583470490145,0,-0.1401105980772721,0,-0.14807227486956331,0,formal_20260818,0,3674827978,iid_marginal,3.0
