r_used,metric,n_replications_planned,n_replications_valid,coverage_fraction,mean,sd,mcse,ci95_low,ci95_high,n_replications_any_valid_origin,series
3.0,UMP_Q_C_unique_excess_capture,20,20,1.0,0.39998804822158485,0.013224366089037872,0.0029570581534431716,0.3937988543761442,0.4061772420670255,20,cell
3.0,UMP_Q_C_unique_excess_purity,20,20,1.0,0.29999103616618855,0.0099182745667784,0.002217793615082378,0.29534914078210805,0.30463293155026905,20,cell
3.0,UMP_Q_C_unique_expected_random_capture,20,20,1.0,0.04000000000000001,7.119154932824459e-18,1.5918914372148438e-18,0.04000000000000001,0.04000000000000001,20,cell
3.0,UMP_Q_C_unique_expected_random_purity,20,20,1.0,0.030000000000000006,7.119154932824459e-18,1.5918914372148438e-18,0.030000000000000002,0.03000000000000001,20,cell
3.0,UMP_Q_C_unique_largest_canonical_correlation,20,20,1.0,0.962755839244722,0.007543600366709672,0.0016868003215055169,0.9592253255968274,0.9662863528926166,20,cell
3.0,UMP_Q_C_unique_purity,20,20,1.0,0.32999103616618863,0.009918274566778393,0.002217793615082376,0.32534914078210814,0.33463293155026913,20,cell
3.0,UMP_Q_C_unique_shared_energy,20,20,1.0,1.3199641446647545,0.039673098267113585,0.008871174460329508,1.3013965631284325,1.3385317262010765,20,cell
3.0,UMP_Q_C_unique_smallest_principal_angle,20,20,1.0,0.2721591358707002,0.027998382871427276,0.006260628736057714,0.2590554893304118,0.28526278241098857,20,cell
3.0,UMP_Q_F_capture,20,20,1.0,0.39237043473201944,0.0011100110724121255,0.0002482060213690954,0.3918509335588449,0.39288993590519394,20,cell
3.0,UMP_Q_F_dim_Q,20,20,1.0,5.0,0.0,0.0,5.0,5.0,20,cell
3.0,UMP_Q_F_dim_U,20,20,1.0,4.0,0.0,0.0,4.0,4.0,20,cell
3.0,UMP_Q_F_excess_capture,20,20,1.0,0.35237043473201946,0.0011100110724121149,0.000248206021369093,0.35185093355884495,0.35288993590519396,20,cell
