contrast,r_a,r_b,metric,n_paired,mean_delta,sd_delta,mcse_delta,t_stat,p_value,ci95_low,ci95_high,deltas_by_replication
H-over: r=7 minus r=5,7,5,U4_Q_C_smallest_principal_angle,20,0.739607181602884,0.11696873944666639,0.026155005264520716,28.277844876068965,0.0,0.6848641264410673,0.7943502367647006,0:0.5055774798;1:0.8894580334;2:0.7102205478;3:0.4852600279;4:0.7232939994;5:0.6409641292;6:0.8061567418;7:0.783540397;8:0.7423889627;9:0.7481095976;10:0.6804716169;11:0.813378663;12:0.875910247;13:0.7814869953;14:0.5866935684;15:0.8410874312;16:0.7123994111;17:0.7188896074;18:0.8933927848;19:0.8534633903
H-over: r=7 minus r=5,7,5,U4_Q_C_unique_capture,20,-0.46181815503577195,0.023008691472972676,0.005144899820688667,-89.76232213088177,0.0,-0.4725865541179941,-0.4510497559535498,0:-0.471744623;1:-0.4505533897;2:-0.432924979;3:-0.4537607876;4:-0.4913827868;5:-0.4914630617;6:-0.4611354185;7:-0.4406740863;8:-0.4333158802;9:-0.4716322793;10:-0.4776038707;11:-0.428165349;12:-0.4517164241;13:-0.4805200348;14:-0.43826948;15:-0.4972422726;16:-0.4541618792;17:-0.5025865183;18:-0.4666136045;19:-0.4408963752
H-over: r=7 minus r=5,7,5,U4_Q_C_unique_dim_Q,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_C_unique_dim_U,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_C_unique_excess_capture,20,-0.46181815503577195,0.02300869147297265,0.005144899820688661,-89.76232213088187,0.0,-0.47258655411799405,-0.45104975595354985,0:-0.471744623;1:-0.4505533897;2:-0.432924979;3:-0.4537607876;4:-0.4913827868;5:-0.4914630617;6:-0.4611354185;7:-0.4406740863;8:-0.4333158802;9:-0.4716322793;10:-0.4776038707;11:-0.428165349;12:-0.4517164241;13:-0.4805200348;14:-0.43826948;15:-0.4972422726;16:-0.4541618792;17:-0.5025865183;18:-0.4666136045;19:-0.4408963752
H-over: r=7 minus r=5,7,5,U4_Q_C_unique_excess_purity,20,-0.34636361627682893,0.017256518604729505,0.0038586748655164995,-89.76232213088177,0.0,-0.3544399155884955,-0.33828731696516234,0:-0.3538084673;1:-0.3379150423;2:-0.3246937343;3:-0.3403205907;4:-0.3685370901;5:-0.3685972963;6:-0.3458515639;7:-0.3305055647;8:-0.3249869102;9:-0.3537242095;10:-0.358202903;11:-0.3211240117;12:-0.3387873181;13:-0.3603900261;14:-0.32870211;15:-0.3729317045;16:-0.3406214094;17:-0.3769398887;18:-0.3499602033;19:-0.3306722814
H-over: r=7 minus r=5,7,5,U4_Q_C_unique_expected_random_capture,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_C_unique_expected_random_purity,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_C_unique_largest_canonical_correlation,20,-0.5063672378179985,0.09451496601739152,0.021134188890597,-23.959624873197328,1.1102230246251565e-15,-0.550601603536426,-0.4621328720995711,0:-0.3709178688;1:-0.6075101012;2:-0.5229291798;3:-0.2975078253;4:-0.452878991;5:-0.4558934249;6:-0.6664262642;7:-0.5108902387;8:-0.547243966;9:-0.4652307095;10:-0.4394860881;11:-0.5196651793;12:-0.6548927901;13:-0.5133841865;14:-0.4409245947;15:-0.5904612322;16:-0.4573446893;17:-0.4251602889;18:-0.5826944933;19:-0.6059026446
H-over: r=7 minus r=5,7,5,U4_Q_C_unique_purity,20,-0.34636361627682893,0.0172565186047295,0.0038586748655164986,-89.7623221308818,0.0,-0.3544399155884955,-0.33828731696516234,0:-0.3538084673;1:-0.3379150423;2:-0.3246937343;3:-0.3403205907;4:-0.3685370901;5:-0.3685972963;6:-0.3458515639;7:-0.3305055647;8:-0.3249869102;9:-0.3537242095;10:-0.358202903;11:-0.3211240117;12:-0.3387873181;13:-0.3603900261;14:-0.32870211;15:-0.3729317045;16:-0.3406214094;17:-0.3769398887;18:-0.3499602033;19:-0.3306722814
