run_id,replication,structural_seed,r_used,branch,n_origins_total,n_origins_successful,n_origins_failed,failure_rate,success_coverage,MSPE_complete_numerator,MSPE_complete_denominator,MSPE_complete,MSPE_conditional_numerator,MSPE_conditional_denominator,MSPE_conditional,ARI_coverage,mean_ARI_conditional,mean_d_hat,sd_d_hat_within,Pr_d_hat_equals_K_true_within,actual_spectral_radius
formal_preferred_20260816,3,3141226789,9,primary_fixed_K,499,499,0,0.0,1.0,95412.40862596399,49900.0,1.912072317153587,95412.40862596399,49900.0,1.912072317153587,1.0,0.006800150221947896,2.302605210420842,0.45984678176945115,0.0,0.9373965708257448
formal_preferred_20260816,3,3141226789,9,robustness_K_equals_d_hat,499,499,0,0.0,1.0,96364.06900023225,49900.0,1.9311436673393236,96364.06900023225,49900.0,1.9311436673393236,1.0,0.006232453624262552,2.302605210420842,0.45984678176945115,0.0,0.9373965708257448
formal_preferred_20260816,4,827407145,1,primary_fixed_K,499,499,0,0.0,1.0,108464.01490005094,49900.0,2.173627553107233,108464.01490005094,49900.0,2.173627553107233,1.0,0.027014166534471962,5.953907815631262,0.20989517253345458,0.0,0.930197577587225
formal_preferred_20260816,4,827407145,1,robustness_K_equals_d_hat,499,499,0,0.0,1.0,110004.6722624861,49900.0,2.204502450150022,110004.6722624861,49900.0,2.204502450150022,1.0,0.021559525233174642,5.953907815631262,0.20989517253345458,0.0,0.930197577587225
formal_preferred_20260816,4,827407145,2,primary_fixed_K,499,499,0,0.0,1.0,104195.83493223912,49900.0,2.0880928844136095,104195.83493223912,49900.0,2.0880928844136095,1.0,0.06644026297375824,5.0,0.0,0.0,0.930197577587225
formal_preferred_20260816,4,827407145,2,robustness_K_equals_d_hat,499,499,0,0.0,1.0,104950.10077572596,49900.0,2.1032084323792777,104950.10077572596,49900.0,2.1032084323792777,1.0,0.05754647039025034,5.0,0.0,0.0,0.930197577587225
formal_preferred_20260816,4,827407145,3,primary_fixed_K,499,499,0,0.0,1.0,101426.0171533545,49900.0,2.0325855140952807,101426.0171533545,49900.0,2.0325855140952807,1.0,0.10921863611229872,4.0,0.0,1.0,0.930197577587225
formal_preferred_20260816,4,827407145,3,robustness_K_equals_d_hat,499,499,0,0.0,1.0,101426.0171533545,49900.0,2.0325855140952807,101426.0171533545,49900.0,2.0325855140952807,1.0,0.10921863611229872,4.0,0.0,1.0,0.930197577587225
formal_preferred_20260816,4,827407145,4,primary_fixed_K,499,499,0,0.0,1.0,96761.07328637244,49900.0,1.939099665057564,96761.07328637244,49900.0,1.939099665057564,1.0,0.35290175773607263,3.0,0.0,0.0,0.930197577587225
formal_preferred_20260816,4,827407145,4,robustness_K_equals_d_hat,499,499,0,0.0,1.0,96964.59438172684,49900.0,1.9431782441227825,96964.59438172684,49900.0,1.9431782441227825,1.0,0.3179233495567706,3.0,0.0,0.0,0.930197577587225
formal_preferred_20260816,4,827407145,5,primary_fixed_K,499,499,0,0.0,1.0,95298.72377877067,49900.0,1.909794063702819,95298.72377877067,49900.0,1.909794063702819,1.0,0.6203942032782213,2.0,0.0,0.0,0.930197577587225
