dgp,K_branch,variant,baing_branch,r0,n_worlds,P_reach_r_true,sd,mcse,ci_low,ci_high,mean_n_iter
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,2,20,0.96,0.10462967275611937,0.02339590607462407,0.9110318058111354,1.0089681941888646,2.0
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,3,20,0.99,0.04472135954999579,0.009999999999999998,0.9690697594559173,1.0109302405440825,2.0
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,4,20,1.0,0.0,0.0,1.0,1.0,2.0
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,5,20,1.0,0.0,0.0,1.0,1.0,1.0
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,6,20,0.030000000000000006,0.07326950970650466,0.016383560438182506,-0.004291186093967558,0.06429118609396757,1.0699999999999998
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,7,20,0.02,0.06155870112510925,0.013764944032233706,-0.008810358967048616,0.04881035896704862,1.2
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,8,20,0.030000000000000006,0.09787209698591859,0.021884866196096624,-0.01580555137593649,0.0758055513759365,2.0599999999999996
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,9,20,0.04,0.10462967275611938,0.023395906074624072,-0.008968194188864582,0.08896819418886459,2.0799999999999996
weak_sbm,primary_fixed_K,A_incremental,released,1,17,0.0,0.0,0.0,0.0,0.0,5.0
weak_sbm,primary_fixed_K,A_incremental,released,2,17,0.0,0.0,0.0,0.0,0.0,4.988235294117647
weak_sbm,primary_fixed_K,A_incremental,released,3,17,0.0,0.0,0.0,0.0,0.0,5.0
weak_sbm,primary_fixed_K,A_incremental,released,4,17,0.0,0.0,0.0,0.0,0.0,4.964705882352941
weak_sbm,primary_fixed_K,A_incremental,released,5,17,0.0,0.0,0.0,0.0,0.0,4.3999999999999995
weak_sbm,primary_fixed_K,A_incremental,released,6,17,0.0,0.0,0.0,0.0,0.0,4.0
weak_sbm,primary_fixed_K,A_incremental,released,7,17,0.0,0.0,0.0,0.0,0.0,3.0
weak_sbm,primary_fixed_K,A_incremental,released,8,17,0.0,0.0,0.0,0.0,0.0,2.0
weak_sbm,primary_fixed_K,A_incremental,released,9,17,0.0,0.0,0.0,0.0,0.0,1.0
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,1,17,0.0,0.0,0.0,0.0,0.0,2.8117647058823527
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,2,17,0.0,0.0,0.0,0.0,0.0,2.8000000000000003
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,3,17,0.0,0.0,0.0,0.0,0.0,2.8117647058823527
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,4,17,0.0,0.0,0.0,0.0,0.0,2.7764705882352945
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,5,17,0.0,0.0,0.0,0.0,0.0,2.2117647058823526
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,6,17,0.0,0.0,0.0,0.0,0.0,1.811764705882353
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,7,17,0.0,0.0,0.0,0.0,0.0,1.0
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,8,17,0.0,0.0,0.0,0.0,0.0,1.0
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,9,17,0.0,0.0,0.0,0.0,0.0,1.0
weak_sbm,primary_fixed_K,B_absolute,released,1,17,0.0,0.0,0.0,0.0,0.0,2.7411764705882353
weak_sbm,primary_fixed_K,B_absolute,released,2,17,0.0,0.0,0.0,0.0,0.0,2.7294117647058824
weak_sbm,primary_fixed_K,B_absolute,released,3,17,0.0,0.0,0.0,0.0,0.0,2.7411764705882353
weak_sbm,primary_fixed_K,B_absolute,released,4,17,0.0,0.0,0.0,0.0,0.0,2.7176470588235295
weak_sbm,primary_fixed_K,B_absolute,released,5,17,0.0,0.0,0.0,0.0,0.0,2.1882352941176473
weak_sbm,primary_fixed_K,B_absolute,released,6,17,0.0,0.0,0.0,0.0,0.0,1.7411764705882353
weak_sbm,primary_fixed_K,B_absolute,released,7,17,0.0,0.0,0.0,0.0,0.0,1.0588235294117647
weak_sbm,primary_fixed_K,B_absolute,released,8,17,0.0,0.0,0.0,0.0,0.0,2.0
weak_sbm,primary_fixed_K,B_absolute,released,9,17,0.0,0.0,0.0,0.0,0.0,2.0
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,1,17,0.0,0.0,0.0,0.0,0.0,2.7411764705882353
