replication,r_used,mean,n_valid_origins,n_total_origins,metric,series
10,2,0.30572617050264145,25,25,U4_Q_C_capture,mechanism_cell
10,3,0.4332439373050192,25,25,U4_Q_C_capture,mechanism_cell
10,4,0.5098061118369852,25,25,U4_Q_C_capture,mechanism_cell
10,5,0.554277643150699,25,25,U4_Q_C_capture,mechanism_cell
10,6,0.26072308470390515,25,25,U4_Q_C_capture,mechanism_cell
10,7,0.11484699637906061,25,25,U4_Q_C_capture,mechanism_cell
10,8,0.11280210895537066,25,25,U4_Q_C_capture,mechanism_cell
10,9,0.09594226702111057,25,25,U4_Q_C_capture,mechanism_cell
11,1,0.04129610431009278,25,25,U4_Q_C_capture,mechanism_cell
11,2,0.30434361385627057,25,25,U4_Q_C_capture,mechanism_cell
11,3,0.41792077659586524,25,25,U4_Q_C_capture,mechanism_cell
11,4,0.47687085975061555,25,25,U4_Q_C_capture,mechanism_cell
11,5,0.4996884525461548,25,25,U4_Q_C_capture,mechanism_cell
11,6,0.21807770993795222,25,25,U4_Q_C_capture,mechanism_cell
11,7,0.09531294784086061,25,25,U4_Q_C_capture,mechanism_cell
11,8,0.07033374978651528,25,25,U4_Q_C_capture,mechanism_cell
11,9,0.07999993232786853,25,25,U4_Q_C_capture,mechanism_cell
12,1,0.04569962345571873,25,25,U4_Q_C_capture,mechanism_cell
12,2,0.29147232587462507,25,25,U4_Q_C_capture,mechanism_cell
12,3,0.4327240382157492,25,25,U4_Q_C_capture,mechanism_cell
12,4,0.47355040007957677,25,25,U4_Q_C_capture,mechanism_cell
12,5,0.46575931946130017,25,25,U4_Q_C_capture,mechanism_cell
12,6,0.20894134955314012,25,25,U4_Q_C_capture,mechanism_cell
12,7,0.046410277016265065,25,25,U4_Q_C_capture,mechanism_cell
12,8,0.03470708780727114,25,25,U4_Q_C_capture,mechanism_cell
12,9,0.0293974499712268,25,25,U4_Q_C_capture,mechanism_cell
13,1,0.061529347242399106,25,25,U4_Q_C_capture,mechanism_cell
13,2,0.2800103250658086,25,25,U4_Q_C_capture,mechanism_cell
13,3,0.4623850008870214,25,25,U4_Q_C_capture,mechanism_cell
13,4,0.548448653072888,25,25,U4_Q_C_capture,mechanism_cell
13,5,0.516675632419344,25,25,U4_Q_C_capture,mechanism_cell
13,6,0.2785427172881899,25,25,U4_Q_C_capture,mechanism_cell
13,7,0.07819436161606345,25,25,U4_Q_C_capture,mechanism_cell
13,8,0.04140387573766843,25,25,U4_Q_C_capture,mechanism_cell
13,9,0.039422560736013995,25,25,U4_Q_C_capture,mechanism_cell
14,1,0.09271451210112847,25,25,U4_Q_C_capture,mechanism_cell
14,2,0.27634964160803366,25,25,U4_Q_C_capture,mechanism_cell
14,3,0.40458893103596905,25,25,U4_Q_C_capture,mechanism_cell
14,4,0.4555610005231675,25,25,U4_Q_C_capture,mechanism_cell
14,5,0.49033502293293113,25,25,U4_Q_C_capture,mechanism_cell
14,6,0.2662805735464544,25,25,U4_Q_C_capture,mechanism_cell
14,7,0.1066475791418295,25,25,U4_Q_C_capture,mechanism_cell
14,8,0.05388375719839588,25,25,U4_Q_C_capture,mechanism_cell
14,9,0.03569290757809852,25,25,U4_Q_C_capture,mechanism_cell
15,1,0.07178876957455017,25,25,U4_Q_C_capture,mechanism_cell
15,2,0.27691949929622406,25,25,U4_Q_C_capture,mechanism_cell
15,3,0.4729861540162063,25,25,U4_Q_C_capture,mechanism_cell
15,4,0.47624401328124905,25,25,U4_Q_C_capture,mechanism_cell
15,5,0.5180048893045915,25,25,U4_Q_C_capture,mechanism_cell
15,6,0.2658757102383063,25,25,U4_Q_C_capture,mechanism_cell
15,7,0.05735466993408674,25,25,U4_Q_C_capture,mechanism_cell
15,8,0.05199290479186908,25,25,U4_Q_C_capture,mechanism_cell
15,9,0.03661289651689444,25,25,U4_Q_C_capture,mechanism_cell
16,1,0.052795940564534745,25,25,U4_Q_C_capture,mechanism_cell
16,2,0.31446724160655,25,25,U4_Q_C_capture,mechanism_cell
16,3,0.4271391381590724,25,25,U4_Q_C_capture,mechanism_cell
16,4,0.4773342546399945,25,25,U4_Q_C_capture,mechanism_cell
16,5,0.5241301240145858,25,25,U4_Q_C_capture,mechanism_cell
16,6,0.22904221238809586,25,25,U4_Q_C_capture,mechanism_cell
16,7,0.1001718235801056,25,25,U4_Q_C_capture,mechanism_cell
16,8,0.0511311431278578,25,25,U4_Q_C_capture,mechanism_cell
16,9,0.038352387216765524,25,25,U4_Q_C_capture,mechanism_cell
17,1,0.025278387970744175,25,25,U4_Q_C_capture,mechanism_cell
17,2,0.2786718195530397,25,25,U4_Q_C_capture,mechanism_cell
17,3,0.4526508404719209,25,25,U4_Q_C_capture,mechanism_cell
17,4,0.5569318282020617,25,25,U4_Q_C_capture,mechanism_cell
17,5,0.609750645502066,25,25,U4_Q_C_capture,mechanism_cell
17,6,0.3142385021748768,25,25,U4_Q_C_capture,mechanism_cell
17,7,0.12045289254035016,25,25,U4_Q_C_capture,mechanism_cell
17,8,0.06683003987130132,25,25,U4_Q_C_capture,mechanism_cell
17,9,0.05075346873949416,25,25,U4_Q_C_capture,mechanism_cell
18,1,0.07526817358720278,25,25,U4_Q_C_capture,mechanism_cell
18,2,0.316939444647652,25,25,U4_Q_C_capture,mechanism_cell
18,3,0.42316444498808087,25,25,U4_Q_C_capture,mechanism_cell
18,4,0.44243169769296903,25,25,U4_Q_C_capture,mechanism_cell
18,5,0.49700970441631315,25,25,U4_Q_C_capture,mechanism_cell
18,6,0.2170236190274953,25,25,U4_Q_C_capture,mechanism_cell
18,7,0.061479572170142945,25,25,U4_Q_C_capture,mechanism_cell
18,8,0.05975142341531742,25,25,U4_Q_C_capture,mechanism_cell
18,9,0.05172744118282756,25,25,U4_Q_C_capture,mechanism_cell
19,1,0.07954034205897162,25,25,U4_Q_C_capture,mechanism_cell
19,2,0.3179954148530587,25,25,U4_Q_C_capture,mechanism_cell
19,3,0.43113202668730616,25,25,U4_Q_C_capture,mechanism_cell
19,4,0.46175676990237813,25,25,U4_Q_C_capture,mechanism_cell
19,5,0.45962132481150114,25,25,U4_Q_C_capture,mechanism_cell
19,6,0.1818107273069255,25,25,U4_Q_C_capture,mechanism_cell
19,7,0.05784742707899034,25,25,U4_Q_C_capture,mechanism_cell
19,8,0.03770326654570789,25,25,U4_Q_C_capture,mechanism_cell
19,9,0.034349260575774754,25,25,U4_Q_C_capture,mechanism_cell
0,1,0.20193826763401504,25,25,UMP_Q_C_purity,mechanism_cell
